"Document ID","Document Title",Categories,"Number of Views"
24562,"Long Term Care Survey Process (LTCSP) Procedure Guide","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",24
28035,"F-757: Unnecessary Drugs Without Adequate Indication for Use (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",24
35281,"Environmental Services Related F-Tag Guide","Environmental Services, Instructional Guides, Tools and Templates",24
36484,"Medication Reconciliation Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",24
458017,"COVID-19 Vaccination Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",24
36948,"Fire and Disaster Safety Plan Policy","Administration, Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",24
39359,"Outbreak Investigation Summary Tool","Forms and Checklists, Infection Control, Nursing, Tools and Templates",24
36893,"Cooperative Arrangements in the Case of an Emergency Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",24
39239,"Pneumococcal Vaccine (Series) Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",23
38520,"Documentation in Medical Record Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",23
39185,"Glucometer Disinfection Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",23
466185,"Inventory Control Log","Food and Nutrition Forms, Food and Nutrition Service, Nursing, Supplemental Tools, Tools and Templates",23
499365,"Resident Monthly 1:1 Activity Log &#8211; Spreadsheet Format","Activities, Activity Forms and Assessments, Tools and Templates",23
39347,"Infection Trending Report Template","Forms and Checklists, Infection Control, Nursing, Tools and Templates",23
33709,"Behavior &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Social Services, Tools and Templates",23
34187,"Resident Self Determination and Participation (Activities) Policy","Activities, Activities, Policies and Procedures, Policies and Procedures, Tools and Templates",23
455815,"MDS PDPM Dashboard","MDS, MDS 3.0, Supplemental Documents, Supplemental Tools, Tools and Templates",23
450562,"Infection Outbreak Response and Investigation Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",23
514089,"Exempt Registered Nurse Staff &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",23
36884,"Business Continuity Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",23
36077,"Survey Management Roles Template","Survey Management, Survey Management Tools, Tools and Templates",23
37022,"Emergency Preparedness Action Plan","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Roles and Responsibilities, Roles and Responsibilities, Safety, Tools and Templates",23
35569,"Sanitation Self Inspection Report","Food and Nutrition Forms, Food and Nutrition Service, Tools and Templates",23
35727,"Focused Incident Review: New or Worsened Pressure Ulcer/Injury","Forms and Tools, Nursing, Pressure Injuries, Tools and Templates",23
35733,"Pressure Injury Facility Self-Assessment Checklist","Forms and Tools, Nursing, Pressure Injuries, Tools and Templates",23
455546,"Pain Management: A Care Solution","Care Solutions, Nursing, Tools and Templates",23
530175,"Budget Change Request Form","Administrative, Business Office, Financial Solutions, Tools, Tools, Tools and Templates",23
38194,"Skin Assessment Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",22
35773,"Social Services Department Competency Checklist","Competencies and Skills, Competency/Job Descriptions, Social Services, Staff Development, Tools and Templates",22
39179,"Employee Tuberculosis Testing Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",22
34107,"Activity Participation Reporting Worksheet","Activities, Quality Reports, Tools and Templates",22
36438,"Staffing Needs Assessment Form","Administrative, Facility Assessment, Forms and Checklists, Human Resources, Staffing Tools, Tools and Templates",22
40182,"Staff Development Training Plan","Program Development, Staff Development, Tools and Templates, Training Plans",22
515499,"Interdepartmental Communication Form","Nursing, Supplemental Tools, Tools and Templates",22
39340,"Infection Prevention and Control Program Approval and History Form","Forms and Checklists, Infection Control, Nursing, Tools and Templates",22
37074,"Facility Based Risk Assessment","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",22
36096,"Change of Room or Roommate Form","Forms and Checklists, Social Services, Tools and Templates",22
461902,"Diagnosis Code Impact Inventory Template","General Information, ICD Codes, ICD-10, MDS, Supplemental Tools, Tools and Templates",22
37071,"Facility and Services Description Tool","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",22
37207,"Environmental Services Quality Assurance Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",22
457429,"Wound Treatment Guidelines","Forms and Tools, Nursing, Pressure Injuries, Tools and Templates",22
37250,"Dietary Employee Personal Hygiene Policy","Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Tools and Templates",22
508062,"Refusal of Treatment Informed Choice Documentation","Forms and Checklists, Nursing, Social Services, Supplemental Tools, Tools and Templates",22
456909,"PDPM Basics Workbook","Administrative, Financial Solutions, MDS, PDPM, Supplemental Tools, Tools and Templates",22
39345,"Infection Prevention and Control Training Plan","Forms and Checklists, Infection Control, Nursing, Tools and Templates",22
35651,"Bed Rail Use Assessment Form","Falls Prevention, Forms and Checklists, Nursing, Supplemental Tools, Tools and Templates",22
39302,"Antibiotic Stewardship Committee Meeting Minutes","Antibiotic Stewardship, Infection Control, Nursing, Tools and Templates",21
38197,"Skin Audits by Nursing Assistants Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",21
35726,"Daily Wound Documentation Form","Forms and Tools, Nursing, Pressure Injuries, Tools and Templates",21
35737,"Pressure Injury Reduction Performance Improvement Project (PIP) Worksheet &#8211; Template","Administrative, Forms and Tools, Nursing, Performance Improvement Projects, Pressure Injuries, QAPI, Tools and Templates",21
470302,"Salary and Budget Expense Account Analysis","Administrative, Financial Solutions, Tools, Tools and Templates",21
37664,"Behavioral Health Services Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",21
36897,"Elopements and Wandering Residents Policy","Administration, Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",21
39215,"Influenza Vaccination Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",21
499362,"Resident Group Activity Attendance Log","Activities, Activity Forms and Assessments, Tools and Templates",21
40564,"Pressure Ulcer / Injury Nurse Aide Competency Checklist","Competencies and Skills, Nursing, Pressure Injuries, Pressure Injuries, Staff Development, Tools and Templates, Training, Wound Management",21
37231,"Routine Cleaning and Disinfection Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",21
37857,"Residents&#8217; Rights Regarding Treatment and Advance Directives Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",21
40210,"QAPI Essentials Training Presentation Handouts","Administrative, QAPI, QAPI, Staff Development, Tools and Templates, Training",21
37222,"Resident Environmental Quality Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",21
36903,"Emergency Food Supply Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Food and Nutrition, Food and Nutrition Service, Policies and Procedures, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",21
40739,"Pain Management Policy and Policy Review Test (Questions with Answer Key)","Competencies and Skills, Pain Management, Staff Development, Tools and Templates",21
36496,"Psychotropic Dose Reduction History Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",21
509810,"Amendment of Protected Health Information Policy","Administrative, HIPAA, HIPAA, Policies and Procedures, Policies and Procedures, Tools and Templates",21
455506,"Pain Management Training Presentation","Pain Management, Staff Development, Tools and Templates",21
39619,"Medication Administration Competency Checklist","Competencies and Skills, Staff Development, Tools and Templates",21
31144,"Disaster Drill Form and Attendees Sign In Sheet","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Life Safety Code, Maintenance, Safety, Staff Development, Testing and Training, Testing and Training, Tools, Tools and Templates",21
37038,"After Action Incident Report","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",21
